"No.","Time","Source","Destination","Protocol","Length","Info"
"71","1.508010","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=1916 Ack=29698 Win=65536 Len=66 TSval=1672486706 TSecr=1672486679"
"73","1.560145","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=1982 Ack=30722 Win=65536 Len=66 TSval=1672486758 TSecr=1672486731"
"75","1.613048","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=2048 Ack=31746 Win=65536 Len=66 TSval=1672486811 TSecr=1672486783"
"77","1.664469","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=2114 Ack=32770 Win=65536 Len=66 TSval=1672486863 TSecr=1672486835"
"79","1.716008","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=2180 Ack=33794 Win=65536 Len=66 TSval=1672486914 TSecr=1672486887"
"81","1.771228","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=2246 Ack=34818 Win=65536 Len=66 TSval=1672486969 TSecr=1672486941"
"83","1.823032","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=2312 Ack=35842 Win=65536 Len=66 TSval=1672487021 TSecr=1672486994"
"85","1.875519","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=2378 Ack=36866 Win=65536 Len=66 TSval=1672487074 TSecr=1672487045"
"87","1.932901","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=2444 Ack=37890 Win=65536 Len=66 TSval=1672487131 TSecr=1672487103"
"89","1.984788","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=2510 Ack=38914 Win=65536 Len=66 TSval=1672487183 TSecr=1672487155"
"91","2.036362","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=2576 Ack=39938 Win=65536 Len=66 TSval=1672487235 TSecr=1672487207"
"93","2.088963","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=2642 Ack=40962 Win=65536 Len=66 TSval=1672487287 TSecr=1672487260"
"95","2.141156","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=2708 Ack=41986 Win=65536 Len=66 TSval=1672487339 TSecr=1672487312"
"97","2.193630","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=2774 Ack=43010 Win=65536 Len=66 TSval=1672487392 TSecr=1672487364"
"99","2.244583","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=2840 Ack=44034 Win=65536 Len=66 TSval=1672487443 TSecr=1672487415"
"101","2.296102","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=2906 Ack=45058 Win=65536 Len=66 TSval=1672487494 TSecr=1672487467"
"103","2.348034","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=2972 Ack=46082 Win=65536 Len=66 TSval=1672487546 TSecr=1672487518"
"105","2.400049","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=3038 Ack=47106 Win=65536 Len=66 TSval=1672487598 TSecr=1672487570"
"107","2.452141","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=3104 Ack=48130 Win=65536 Len=66 TSval=1672487650 TSecr=1672487622"
"109","2.505295","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=3170 Ack=49154 Win=65536 Len=66 TSval=1672487703 TSecr=1672487676"
"111","2.556709","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=3236 Ack=50178 Win=65536 Len=66 TSval=1672487755 TSecr=1672487727"
"113","2.608518","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=3302 Ack=51202 Win=65536 Len=66 TSval=1672487807 TSecr=1672487779"
"115","2.660711","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=3368 Ack=52226 Win=65536 Len=66 TSval=1672487859 TSecr=1672487831"
"117","2.712316","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=3434 Ack=53250 Win=65536 Len=66 TSval=1672487910 TSecr=1672487883"
"119","2.763928","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=3500 Ack=54274 Win=65536 Len=66 TSval=1672487962 TSecr=1672487934"
"121","2.816104","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=3566 Ack=55298 Win=65536 Len=66 TSval=1672488014 TSecr=1672487987"
"123","2.867988","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=3632 Ack=56322 Win=65536 Len=66 TSval=1672488066 TSecr=1672488038"
"125","2.919232","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=3698 Ack=57346 Win=65536 Len=66 TSval=1672488117 TSecr=1672488090"
"127","2.971467","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=3764 Ack=58370 Win=65536 Len=66 TSval=1672488170 TSecr=1672488142"
"129","3.022617","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=3830 Ack=59394 Win=65536 Len=66 TSval=1672488221 TSecr=1672488194"
"131","3.075183","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=3896 Ack=60418 Win=65536 Len=66 TSval=1672488273 TSecr=1672488245"
"133","3.126399","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=3962 Ack=61442 Win=65536 Len=66 TSval=1672488325 TSecr=1672488297"
"135","3.177346","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=4028 Ack=62466 Win=65536 Len=66 TSval=1672488376 TSecr=1672488348"
"137","3.230734","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=4094 Ack=63490 Win=65536 Len=66 TSval=1672488429 TSecr=1672488402"
"139","3.283092","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=4160 Ack=64514 Win=65536 Len=66 TSval=1672488481 TSecr=1672488453"
"141","3.336288","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=4226 Ack=65538 Win=65536 Len=66 TSval=1672488534 TSecr=1672488506"
"143","3.388633","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=4292 Ack=66562 Win=65536 Len=66 TSval=1672488587 TSecr=1672488559"
"145","3.441044","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=4358 Ack=67586 Win=65536 Len=66 TSval=1672488639 TSecr=1672488611"
"147","3.495415","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=4424 Ack=68610 Win=65536 Len=66 TSval=1672488694 TSecr=1672488663"
"149","3.547907","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=4490 Ack=69634 Win=65536 Len=66 TSval=1672488746 TSecr=1672488718"
"151","3.601224","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=4556 Ack=70658 Win=65536 Len=66 TSval=1672488799 TSecr=1672488771"
"153","3.653468","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=4622 Ack=71682 Win=65536 Len=66 TSval=1672488852 TSecr=1672488823"
"155","3.705129","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=4688 Ack=72706 Win=65536 Len=66 TSval=1672488903 TSecr=1672488876"
"157","3.758377","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=4754 Ack=73730 Win=65536 Len=66 TSval=1672488957 TSecr=1672488928"
"159","3.810858","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=4820 Ack=74754 Win=65536 Len=66 TSval=1672489009 TSecr=1672488981"
"161","3.863460","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=4886 Ack=75778 Win=65536 Len=66 TSval=1672489062 TSecr=1672489034"
"163","3.915647","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=4952 Ack=76802 Win=65536 Len=66 TSval=1672489114 TSecr=1672489086"
"165","3.967616","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=5018 Ack=77826 Win=65536 Len=66 TSval=1672489166 TSecr=1672489138"
"167","4.019745","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=5084 Ack=78850 Win=65536 Len=66 TSval=1672489218 TSecr=1672489190"
"169","4.072765","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=5150 Ack=79874 Win=65536 Len=66 TSval=1672489271 TSecr=1672489242"
"171","4.126034","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=5216 Ack=80898 Win=65536 Len=66 TSval=1672489324 TSecr=1672489296"
"173","4.177343","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=5282 Ack=81922 Win=65536 Len=66 TSval=1672489376 TSecr=1672489348"
"175","4.228893","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=5348 Ack=82946 Win=65536 Len=66 TSval=1672489427 TSecr=1672489399"
"177","4.280628","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=5414 Ack=83970 Win=65536 Len=66 TSval=1672489479 TSecr=1672489451"
"179","4.332464","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=5480 Ack=84994 Win=65536 Len=66 TSval=1672489531 TSecr=1672489503"
"181","4.384950","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=5546 Ack=86018 Win=65536 Len=66 TSval=1672489583 TSecr=1672489556"
"183","4.437393","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=5612 Ack=87042 Win=65536 Len=66 TSval=1672489636 TSecr=1672489608"
"185","4.488835","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=5678 Ack=88066 Win=65536 Len=66 TSval=1672489687 TSecr=1672489660"
"187","4.540600","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=5744 Ack=89090 Win=65536 Len=66 TSval=1672489739 TSecr=1672489711"
"189","4.592151","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=5810 Ack=90114 Win=65536 Len=66 TSval=1672489790 TSecr=1672489763"
"191","4.645431","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=5876 Ack=91138 Win=65536 Len=66 TSval=1672489844 TSecr=1672489816"
"193","4.696539","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=5942 Ack=92162 Win=65536 Len=66 TSval=1672489895 TSecr=1672489867"
"195","4.748197","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=6008 Ack=93186 Win=65536 Len=66 TSval=1672489946 TSecr=1672489919"
"197","4.799808","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=6074 Ack=94210 Win=65536 Len=66 TSval=1672489998 TSecr=1672489970"
"199","4.851899","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=6140 Ack=95234 Win=65536 Len=66 TSval=1672490050 TSecr=1672490022"
"201","4.903584","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=6206 Ack=96258 Win=65536 Len=66 TSval=1672490102 TSecr=1672490075"
"203","4.957485","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=6272 Ack=97282 Win=65536 Len=66 TSval=1672490156 TSecr=1672490127"
"205","5.009503","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=6338 Ack=98306 Win=65536 Len=66 TSval=1672490208 TSecr=1672490180"
"207","5.061685","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=6404 Ack=99330 Win=65536 Len=66 TSval=1672490260 TSecr=1672490232"
"209","5.113009","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=6470 Ack=100354 Win=65536 Len=66 TSval=1672490311 TSecr=1672490284"
"211","5.166073","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=6536 Ack=101378 Win=65536 Len=66 TSval=1672490364 TSecr=1672490336"
"213","5.218466","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=6602 Ack=102402 Win=65536 Len=66 TSval=1672490417 TSecr=1672490388"
"215","5.270816","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=6668 Ack=103426 Win=65536 Len=66 TSval=1672490469 TSecr=1672490442"
"217","5.323770","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=6734 Ack=104450 Win=65536 Len=66 TSval=1672490522 TSecr=1672490494"
"219","5.375443","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=6800 Ack=105474 Win=65536 Len=66 TSval=1672490574 TSecr=1672490546"
"221","5.427580","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=6866 Ack=106498 Win=65536 Len=66 TSval=1672490626 TSecr=1672490598"
"223","5.479543","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=6932 Ack=107522 Win=65536 Len=66 TSval=1672490678 TSecr=1672490650"
"225","5.530830","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=6998 Ack=108546 Win=65536 Len=66 TSval=1672490729 TSecr=1672490702"
"227","5.582177","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=7064 Ack=109570 Win=65536 Len=66 TSval=1672490780 TSecr=1672490753"
"229","5.633927","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=7130 Ack=110594 Win=65536 Len=66 TSval=1672490832 TSecr=1672490804"
"231","5.685703","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=7196 Ack=111618 Win=65536 Len=66 TSval=1672490884 TSecr=1672490856"
"233","5.739000","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=7262 Ack=112642 Win=65536 Len=66 TSval=1672490937 TSecr=1672490908"
"235","5.790904","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=7328 Ack=113666 Win=65536 Len=66 TSval=1672490989 TSecr=1672490961"
"237","5.842650","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=7394 Ack=114690 Win=65536 Len=66 TSval=1672491041 TSecr=1672491013"
"239","5.894832","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=7460 Ack=115714 Win=65536 Len=66 TSval=1672491093 TSecr=1672491065"
"241","5.947655","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=7526 Ack=116738 Win=65536 Len=66 TSval=1672491146 TSecr=1672491117"
"243","5.999720","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=7592 Ack=117762 Win=65536 Len=66 TSval=1672491198 TSecr=1672491170"
"245","6.051512","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=7658 Ack=118786 Win=65536 Len=66 TSval=1672491250 TSecr=1672491222"
"247","6.103196","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=7724 Ack=119810 Win=65536 Len=66 TSval=1672491301 TSecr=1672491274"
"249","6.154845","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=7790 Ack=120834 Win=65536 Len=66 TSval=1672491353 TSecr=1672491326"
"251","6.206985","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=7856 Ack=121858 Win=65536 Len=66 TSval=1672491405 TSecr=1672491378"
"253","6.259153","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=7922 Ack=122882 Win=65536 Len=66 TSval=1672491457 TSecr=1672491430"
"255","6.312841","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=7988 Ack=123906 Win=65536 Len=66 TSval=1672491511 TSecr=1672491483"
"257","6.364889","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=8054 Ack=124930 Win=65536 Len=66 TSval=1672491563 TSecr=1672491535"
"259","6.417577","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=8120 Ack=125954 Win=65536 Len=66 TSval=1672491616 TSecr=1672491587"
"261","6.469059","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=8186 Ack=126978 Win=65536 Len=66 TSval=1672491667 TSecr=1672491639"
"263","6.523486","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=8252 Ack=128002 Win=65536 Len=66 TSval=1672491722 TSecr=1672491694"
"265","6.575117","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=8318 Ack=129026 Win=65536 Len=66 TSval=1672491773 TSecr=1672491746"
"267","6.627599","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=8384 Ack=130050 Win=65536 Len=66 TSval=1672491826 TSecr=1672491798"
"269","6.679655","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=8450 Ack=131074 Win=65536 Len=66 TSval=1672491878 TSecr=1672491850"
"271","6.731429","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=8516 Ack=132098 Win=65536 Len=66 TSval=1672491930 TSecr=1672491902"
"273","6.782519","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=8582 Ack=133122 Win=65536 Len=66 TSval=1672491981 TSecr=1672491953"
"275","6.833809","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=8648 Ack=134146 Win=65536 Len=66 TSval=1672492032 TSecr=1672492005"
"277","6.885529","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=8714 Ack=135170 Win=65536 Len=66 TSval=1672492084 TSecr=1672492056"
"279","6.937571","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=8780 Ack=136194 Win=65536 Len=66 TSval=1672492136 TSecr=1672492108"
"281","6.990389","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=8846 Ack=137218 Win=65536 Len=66 TSval=1672492189 TSecr=1672492160"
"283","7.044046","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=8912 Ack=138242 Win=65536 Len=66 TSval=1672492242 TSecr=1672492215"
"285","7.096333","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=8978 Ack=139266 Win=65536 Len=66 TSval=1672492295 TSecr=1672492267"
"287","7.148733","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=9044 Ack=140290 Win=65536 Len=66 TSval=1672492347 TSecr=1672492319"
"289","7.201267","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=9110 Ack=141314 Win=65536 Len=66 TSval=1672492399 TSecr=1672492371"
"291","7.253008","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=9176 Ack=142338 Win=65536 Len=66 TSval=1672492451 TSecr=1672492423"
"293","7.304325","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=9242 Ack=143362 Win=65536 Len=66 TSval=1672492503 TSecr=1672492475"
"295","7.355854","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=9308 Ack=144386 Win=65536 Len=66 TSval=1672492554 TSecr=1672492527"
"297","7.407649","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=9374 Ack=145410 Win=65536 Len=66 TSval=1672492606 TSecr=1672492578"
"299","7.459226","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=9440 Ack=146434 Win=65536 Len=66 TSval=1672492657 TSecr=1672492630"
"301","7.510771","127.0.0.1","127.0.0.1","TCP","132","3000  >  53220 [PSH, ACK] Seq=9506 Ack=147458 Win=65536 Len=66 TSval=1672492709 TSecr=1672492681"
